Player,Pos,Age,Match Played,Starts,Play Time (Minutes),Goals,Assist,Goals + Assist,Non Penalty Goals,Penalty Goals,Penalty Goals Attempt,Yellow Card,Red Card,Expected Goals,Non Penalty Expected Goals,Expected Assist,Non Penalty Expected Goals + Expected Assist,Progressive Carries,Progressive Pass,Progressive Pass Received,Goals Per 90 Minutes,Assist Per 90 Minutes,Goals + Assist Per 90 Minutes,Non Penalty Goals Per 90 Minutes,Non Penalty Goals + Assist Per 90 Minutes,Expected Goals Per 90 Minutes,Expected Assist Per 90 Minutes,Expected Goals + Expected Assist Per 90 Minutes,Non Penalty Expected Goals Per 90 Minutes,Non Penalty Expected Goals + Expected Assist Per 90 Minutes,Matches
David de Gea,GK,31,58,58,"5,250",0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bruno Fernandes,"MF,FW",27,59,58,"5,156",14,13,27,10,4,4,12,0,11.9,10.3,21.7,32,114,327,302,0.24,0.23,0.47,0.17,0.4,0.26,0.47,0.72,0.22,0.69,Matches
Marcus Rashford,FW,24,56,46,"4,287",30,9,39,29,1,1,2,0,20.6,20.6,4.3,24.9,110,105,305,0.63,0.19,0.82,0.61,0.8,0.54,0.11,0.65,0.54,0.65,Matches
Casemiro,MF,30,51,43,"3,897",7,6,13,7,0,0,13,2,5,5,4.4,9.4,27,232,53,0.16,0.14,0.3,0.16,0.3,0.14,0.13,0.27,0.14,0.27,Matches
Luke Shaw,DF,27,47,40,"3,646",1,6,7,1,0,0,12,0,1.1,1.1,4.7,5.8,71,172,103,0.02,0.15,0.17,0.02,0.17,0.03,0.14,0.17,0.03,0.17,Matches
Lisandro Martinez,DF,24,45,38,"3,409",1,0,1,1,0,0,10,0,0.7,0.7,0.8,1.5,30,128,2,0.03,0,0.03,0.03,0.03,0.02,0.02,0.05,0.02,0.05,Matches
Diogo Dalot,DF,23,42,38,"3,242",2,2,4,2,0,0,8,0,2.7,2.7,3,5.7,65,137,114,0.06,0.06,0.11,0.06,0.11,0.09,0.1,0.19,0.09,0.19,Matches
Antony,FW,22,44,39,"3,092",8,3,11,8,0,0,8,0,8.4,8.4,4.4,12.8,123,102,249,0.23,0.09,0.32,0.23,0.32,0.31,0.16,0.47,0.31,0.47,Matches
Christian Eriksen,MF,30,44,37,"3,060",2,10,12,2,0,0,3,0,5.3,5.3,5.7,11,40,224,84,0.06,0.29,0.35,0.06,0.35,0.18,0.2,0.38,0.18,0.38,Matches
Tyrell Malacia,DF,22,39,29,"2,688",0,0,0,0,0,0,9,0,0.7,0.7,1.4,2.1,40,94,64,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09,Matches
Raphael Varane,DF,29,34,31,"2,666",0,0,0,0,0,0,2,0,0.9,0.9,0.3,1.2,22,83,4,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
Aaron Wan-Bissaka,DF,24,34,28,"2,568",0,1,1,0,0,0,3,0,1.4,1.4,1.5,2.9,57,72,76,0,0.04,0.04,0,0.04,0.07,0.07,0.14,0.07,0.14,Matches
Victor Lindelof,DF,28,35,27,"2,514",0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,11,72,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
Jadon Sancho,"FW,MF",22,41,29,"2,420",7,3,10,7,0,0,0,0,5.2,5.2,6.4,11.6,112,98,223,0.26,0.11,0.37,0.26,0.37,0.21,0.27,0.48,0.21,0.48,Matches
Fred,MF,29,56,23,"2,296",6,5,11,6,0,0,10,0,3,3,3.2,6.2,15,103,82,0.24,0.2,0.43,0.24,0.43,0.15,0.16,0.32,0.15,0.32,Matches
Scott McTominay,MF,25,39,16,"1,706",3,1,4,3,0,0,10,0,2.9,2.9,0.6,3.4,21,40,30,0.16,0.05,0.21,0.16,0.21,0.2,0.04,0.24,0.2,0.24,Matches
Wout Weghorst,"FW,MF",29,31,20,"1,678",2,3,5,2,0,0,2,0,3.7,3.7,1.8,5.5,6,23,57,0.11,0.16,0.27,0.11,0.27,0.28,0.14,0.42,0.28,0.42,Matches
